Poste;Métier;Pays;Ville;Entreprise;Contrat;Salaire;Description
Data Scientist Entry Level - Pathrise Recruiting Partners;Python;USA;Remote;Pathrise;;;What is Pathrise Recruiting Partners?  Pathrise Recruiting Partners connects top candidates to top employers. We use the same tactics and connections that we’ve used to place 300+ candidates to also bridge the connection between great candidates and top employers and recruitment firms. By applying to this position you gain access to a streamlined application process. This puts your resume right into the recruiting teams of our partners who are actively seeking candidates like you. To read more visit pathrise.com/pathrise-recruiting-partners  Job Description  Our partners are looking for entry level Data Scientists. In these positions you will be asked to manipulate and utilize data in order to inform key business decisions and model various market conditions. These positions are ideal for someone with a passion for data science and is entrepreneurial. These positions are an exciting way for someone to break into data science and start building a career at organizations ranging from established tech companies to growing startups. Qualifications 0-3 years in data science Excellent communication skills, ability to understand customer needs and provide valuable recommendations Strong Python and SQL skills Able to effectively synthesize, visualize, and communicate your ideas to others Familiar with key data engineering concepts Experience with data visualization What will I be doing? Being involved with product discussions about high impact features Help with various data analysis and modeling projects projects Creating data visualizations for use in both internal and external capacities Using data to inform decisions made by product, engineering, and design teams This role is part of our Pathrise Recruiting Partners program. Submitting this application will allow your profile to be reviewed by our network of hiring partners. To read more about how this all works as well as more information about our partners please visit pathrise.com/pathrise-recruiting-partners 30+ days ago report job
Full Time Opportunities for Students or Recent Graduates: Da...;Python;USA;Redmond, WA;Microsoft;;;Data Scientists at Microsoft help to improve the quality of experiences on our devices and services. We are looking for highly motivated and passionate Data Scientists to apply rigorous scientific methodology and algorithms to data in order to improve Microsoft’s devices, operating systems, and services. As a Data Scientist, you will provide unique insight into business and customer scenarios that cut across organizational boundaries and lead the growth of a data-driven culture within Microsoft.  Do you want to work on a meaningful and impactful project and make a difference? Are you willing to learn from others and open to new ideas? Do you want to support others to succeed and operate in a highly-collaborative and global environment? If this sounds like you, Microsoft would like to invite you to come join us as you are, where you can find more than just a job. Read on to learn more about opportunities and apply online! Responsibilities As a Data Scientist, you will formulate approaches to solve problems using well-defined algorithms and data sources. You will incorporate an understanding of product functionality and customer perspective to provide context for those problems. You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the data. Successful Data Scientists will interpret the results of their analysis, validate their approach, and learn to monitor, analyze, and iterate to continuously improve.  You will engage with peer stakeholders to produce clear, compelling, actionable insights that influence product and service improvements that will impact millions of customers. As a Data Scientist, you will also engage in the peer review process and act on feedback while learning innovative methods, algorithms, and tools to increase the impact and applicability of your results. Qualifications Currently has or is in the process of obtaining their BA/BS or Masters in Computer Science, Mathematics, Economics, Statistics, Applied Sciences like Biostatistics, Physics, Chemistry, Computational Neurology Some Engineering experience and or project course work using large data systems on SQL, Hadoop, etc. Proficiency using one or more programming or scripting language to work with data such as: Python, Perl, or C#. Some experience and or project course work performing data analysis and applying statistics working with tools such as: Excel, R, MATLAB, AMPL, or SAS. Some experience and or project course work with product and service telemetry systems. Some A/B Testing or experimentation (this can be from conducting real life science experiments, hypothesis testing in stats etc.) Not required but ideal. Some experience or course work applying basic ML to a type of data and or used algorithms to conduct experiments on data. Machine Learning strongly encouraged. Passion to learn from your peers, manager, and other stakeholders in the Data Science domain. Ability to interact with peers and stakeholders to drive product and business impact. Strong interpersonal and communications skills.  Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.  Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work. 30+ days ago report job
Quantitative Trader - Entry Level;Python;USA;Chicago, IL;Avatar Securities;;;Seeking an entry level trader with no prior professional trading experience. Individuals must be disciplined and able to take direction. A background from a top school in statistics or engineering is encouraged, and a strong work ethic is required. C++ and Python experience is a plus. Compensation is entirely performance-based with no cap. Training is comprehensive. Traders will be taught a proven strategy and given all trading and risk capital required. 30+ days ago report job
Python Developer Intern;Python;USA;Ruby, SC;OXO Solutions;;$4,000 a week;"Job Description We are looking for a Python Web Developer responsible for managing the interchange of data between the server and the users. Your primary focus will be the development of all server-side logic, ensuring high performance and responsiveness to requests from the front-end. You will also be responsible for integrating the front-end elements built by your co-workers into the application; therefore, a basic understanding of front-end technologies is necessary as well. Responsibilities Write clean, maintainable code following best practices (unit testing, source control, continuous integration, automation, design patterns, etc.)  Debug code and troubleshoot problems  Collaborate with other developers, testers, and system engineers to ensure quality product enhancements  Take full responsibility for the quality of code and test cases that are developed  Job Summary Offered Salary 4000 Career Level Internship Experience 2 year Qualification MCA M.Tech CSE B.tech IT B.C.A B.tech (CSE/IT/ECE/ME) 30+ days ago report job"
Junior Python Developer;Python;USA;New York, NY 10022 (Midtown area);GTS;;;"Overview: GTS is a growing global electronic market maker, powered by combining market expertise with innovative, proprietary technology. As a quantitative trading firm continually building for the future, GTS leverages the latest in artificial intelligence systems and sophisticated pricing models to bring consistency, efficiency, and transparency to today’s financial markets. GTS accounts for 3-6% of daily cash equities volume in the U.S. and trades over 10,000 different instruments globally, including equities, futures, commodities, foreign exchange and interest rate products. GTS, with more than 150 people on its team, is the largest Designated Market Maker (DMM) at the New York Stock Exchange, responsible for nearly $12.5 trillion of market capitalization and trading some of the world’s best known companies. Responsibilities:  We are a technology driven firm looking for talented junior level Python software developers with a passion for solving complex problems to join our Trading Analytics team. You will have the opportunity to work on a high-volume data processing solution, which performs daily analysis of the firm’s trading activities across all asset classes. You will work alongside a very experienced team to develop and own our suite of accounting tools crunching millions of records per-day to analyze the firm-wide financial performance. Requirements Strong practical knowledge of Python coding skills Hands-on database experience, specifically experience using SQL Aptitude towards numerical data manipulation and analysis A bachelor’s degree in computer science, engineering, or related field 1-3 years of related work experience; internship experience counts Ability to communicate clearly and concisely, verbally and in writing Desire to take ownership and work autonomously while being part of a close-knit team  Qualifications:  The following experience/attributions are a plus  Exposure to (or desire to learn) C++ Demonstrated experience operating in a Linux environment  Visa sponsorship available for the right candidate.  We invest heavily in our technology and infrastructure, and our flat collaborative and collegiate structure encourages an environment where our developers can bring their ideas straight to senior level partners and firm founders. We're proud to employ some of the leading talent in the industry, and we work to ensure our employees enjoy a high quality-of-life. What We Offer: A selection of healthcare plans for you and your family, some 100% employer paid Insurance coverage that starts on day one Free lunch daily and weekly group lunches Casual dress code Company outings, including bowling, casino nights and happy hours A fully stocked pantry A game room with Foosball and a custom arcade cabinet 30+ days ago report job"
Python developer (Backend) REMOTE;Python;USA;Research Triangle Park, NC;Ace-stack LLC;;$70 an hour;Job Details Position : Python developer (Backend) REMOTE THIS POSITION IS REMOTE UNTILL COVID-19 situation, as situation normalise candidate has to join project Onsite .  Excellent knowledge of and experience with Python (Python 3) Excellent knowledge of Linux (RHEL, CentOS, Fedora) Excellent knowledge of version control systems (Git) Strong analytical skills Strong communication skills Strong organizational and leadership skills Strong written and verbal communication skills in English, ability to communicate effectively in a global team Ability to influence/impact beyond immediate team Ability to multi-task Ability to work unsupervised in a fast-paced environment, willing to learn on your own Ace-Stack - 30+ days ago report job
Full-Time Research Assistantnew;Python;USA;Los Angeles, CA;UCLA;;;"The primary responsibility of the Research Assistant is to develop, conduct, and manage research projects designated by faculty supervisors.  The Research Assistant has a leading role in the development and execution of major research projects, and performs state-of-the-art analyses for research projects in collaboration with faculty.  Under the supervision of assigned faculty members, the Research Assistant will provide supervision of volunteer research assistants; create, design and conduct a variety of research studies; manage the recruitment of research subjects; collect, manage, analyze and process data for the intent of publishing in top tier academic journals; perform literature reviews; manage lab meetings, research budget, and project coordination.  Responsibilities also include coordination of research projects with external collaborators, which may take place in and outside of the US, including external communication and managing deadlines and work flow with external parties.  Percentage of Time: 100  Shift Start: 8:00 am  Shift End: 5:00 pm  Qualifications for Position  12 Records  Qualifications  Required/Preferred  1. Bachelor's Degree or an equivalent combination of education and experience.  Required  2. Strong quantitative skills, proficiency in STATA or R  Required  3. Familiarity with experimental research  Required  4. Familiarity with the forms and submission procedures to obtain research approvals from the UCLA Institutional Review Board and Office for the Protection of Research Subjects.  Preferred  5. Excellent skills in oral and written English communication.  Required  6. Ability and willingness to work with competing deadlines, meet fixed deadlines, manage multiple assignments, and follow through tasks to completion.  Required  7. Excellent grades in quantitative coursework (e.g. computer science, math, econ, stats)  Required  8. Experience with statistical software.  Preferred  9. Demonstrates programming proficiency and the ability to work in multiple languages, especially in general purpose languages like Python, Julia, and statistical languages like Matlab, R, or Stata.  Required  10. Ability to work independently  Required  11. Prior research assistant experience  Preferred  12. Background in economics  Preferred  Additional Posting Information  Bargaining Unit: 99-Policy Covered  Application Deadline: 06-14-2020  External Posting Date: 5 days ago report job"
Jr. Software Developer - Remote;Python;USA;Raleigh, NC;Piper Companies;;$65,000 - $100,000 a year;Description Piper Companies is seeking a Jr. Software Developer – Remote for a growing cloud SaaS start up. The Jr. Software Developer – Remote will be responsible for the design, development, and implementation of new features to a brand new software product.  Responsibilities for the Jr. Software Developer – Remote include: Design, develop, and implement new backend services and applications Work with leadership and senior developers on how to build scalable, secure, and high quality code Collaborate with cross functional teams Thoroughly document work in an organized manner  Requirements for the Jr. Software Developer – Remote include: Proficiency in Java or Python Strong OO programming skills RESTful web service experience Excellent problem solver Strong verbal and written communication skills Bachelor’s Degree in Computer Science, Computer Engineering  Compensation of the Jr. Software Developer – Remote Salary Range: $65,000 - $100,000 plus a comprehensive benefits package including Medical (United), Dental (Guardian), Vision (VSP), and 401K (Voya through ADP)  Keywords: Java, OO, CS, CE, Computer Science, Computer Engineering, REST, API Development ZP Group - 22 days ago report job
GIS Technician (Contract);Python;USA;United States;Orbital Insight;;;Our mission is to understand what we’re doing on, and to, the Earth. This includes all of the economic and social trends that impact us. In order to see these details and work at scale, we leverage advanced computer vision and machine learning techniques. Critical to the success of this process are our data sources which are the lifeblood of our company.  Within the Content Organization at Orbital Insight, the Content Operations Team is charged with creating and maintaining foundational data layers for our products. We are hiring for two GIS Technician positions, one focused on Data Creation and one focused on Quality Assurance. In this role, you will be responsible for curation of computer vision ground truth datasets and creation and maintenance of our library of highly accurate areas of interest that we run all of our geospatial analytics on. You will be in charge of coordinating with the Program Managers for Data Acquisition and Data Creation on priorities, scope, feasibility, and timelines for data creation activities you are responsible for. You will also liaise with internal customers of this data including computer vision engineers, data scientists, solutions engineers, and product managers.  This is a 3-6 month contract position with potential to convert to full-time. This position can be remote. Job Responsibilities For the Data Creation role, produces data sets to include, labeling areas of interest and marking ground truth labels for our CV algorithms as required For the Data Maintenance role, responsible for managing and tracking the external data creation and maintenance tasks with our outsourced workforce Oversee internal data quality for the AOI Catalog, following established quality control practices and standards Run data production and quality assurance tasks to deliver quality data on schedule Coordinate with Data Scientists, Computer Vision Engineers, Software Engineers and Product Managers to support their data requirements Understand and inform our data creation backlog Have deep knowledge of GIS tools and standards Monitor our data production costs. Escalate and troubleshoot issues with our data creation workflow as they arise Required Skills Experience working with geospatial data, especially imagery (satellite, aerial, UAV, and others), and familiarity with identifying objects of interest in remote sensing data Experience with one or more common GIS tool (ESRI, QGIS, Google Earth) Experience in working with structured and unstructured information including diverse data formats such as raster, vector, tabular, etc. Ability to coordinate with different teams and stakeholders located across the globe Ability to perform duties independently and with general supervision Strong attention to detail and analytical skills Ability to manage time and priorities effectively to meet the deadlines Experience managing multiple projects concurrently Preferred Skills Experience with the Atlassian stack (JIRA, Confluence) preferred Experience working with teams and stakeholders located across the globe Experience in Python Bachelor's Degree in Geography, Natural Resources, or science or technology field with significant application in GIS, or an equivalent combination of GIS experience and knowledge 30+ days ago report job
Consulting Professors;Python;USA;Remote;Saylor Academy;;;"Saylor Academy, a pioneer in open online education, is looking for subject-matter experts (SMEs) with postsecondary teaching experience and academic expertise to help us build courses to benefit students around the world. Saylor Academy is committed to helping learners overcome barriers to attaining higher education and career skills by removing the obstacles of cost, distance, and time to study. We do so by providing free, self-paced, online courses that can earn free certificates of accomplishment or even college credit at leading colleges and universities. As a SME, you will learn how we leverage open educational resources (OER) to create college-level learning experiences. We will provide training in curating OER, vetting resources, and writing assessments for asynchronous learning. You will provide the academic expertise, teaching experience, and passion for giving students the resources and freedom to achieve their dreams. Position Description Consulting professors perform targeted updates to Saylor Academy’s existing catalog of courses and develop new learning modules and assessments. Individual projects include creating study guides, refining course learning outcomes, identifying and vetting open educational resources (OER), pairing resources to course blueprints, developing assignments, and creating or revising assessment materials. The successful candidate will collaborate closely with Saylor Academy staff to ensure course development activities reflect a high standard of quality and effectiveness. Subject-Matter Experts Needed We are looking for SMEs to make targeted updates to these courses: BUS105: Managerial Accounting BUS305: Small Business Management BUS401: Management Leadership BUS403: Negotiations and Conflict Management BUS501: Strategic Management College Success CS102: Introduction to Computer Science II CS202: Discrete Structures CS301: Computer Architecture CS302: Software Engineering CS402: Computer Communications and Networks CS406: Information Security ECON101: Principles of Microeconomics ECON102: Principles of Macroeconomics GEOG101: World Regional Geography PHIL103: Moral and Political Philosophy POLSC401: Ethics and Public Policy POLSC402: Global Justice POLSC101: Introduction to Political Science PRDV104: Professional Etiquette Data Analytics Data Visualization Python for Data Analytics MBA Business Intelligence & Analytics MBA Capstone MBA Data Driven Decision-Making MBA Data Visualization MBA Data Management MBA Ethical Leadership MBA Finance MBA Innovation & Sustainability MBA International Business MBA International Finance MBA International Marketing MBA Marketing MBA Operations Management MBA Project Management MBA Strategic Management MBA Supply Chain Management Position Requirements In order to be eligible for this position course developers must have experience teaching at the college level. Specific qualifications include: A Ph.D. in a related academic discipline or an MS, MA, or MBA and experience for business faculty; Teaching experience at the college level; Demonstrated experience in instructional design or curriculum development; Demonstrated experience with open educational resources (OER); Commitment to alternative education models; Ability to work independently without daily supervision; and Strong verbal and written communication skills. Prior experience with remote, contract-based work a plus Details This is a part-time, temporary, contract position. Location The successful candidate will work remotely. Compensation Compensation varies with the scope of the assigned project. Payments are made on a per project basis. How To Apply Please send your CV and a list of the courses you have taught, including the number of times you have taught each course, to [email protected] with “Consulting Professor” in the subject line. Please include which courses you are applying to work on in the text of your email. 30+ days ago report job"
